,Data
0,"DakTech Computers | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Supplying reliable systems for education backed by the best warranty in the industry. What DakTech Does for Education Providing Quality Computers for 30 Years Challenge Us Learn More Your Business is our Business Get the most out of your server, whether it’s web, mail, or files. Backed by an industry leading 7-Year Warranty. Our Servers DakTech Servers Best-in-class performance and durability with scalable design for K-12 Education or a growing business. How We Can Help Stay Connected. Remote Learning. Providing The Highest Quality Systems Education Professionals View Systems Business Professionals View Systems Government Professionals View Systems From the Class room To the Board Room How to Start your eSports Team PDF Give Your eSports Team Every Opportunity to Reach the Winner's Circle! Learn More About Gryphon eSports Building the Right System for Your Software DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
1,"About Us | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In About Us Made in Fargo, ND We assemble and market our DakTech products here in Fargo – none of our production or support functions are outsourced. View Our Products 30 Years of History DakTech was founded in 1990 as a 3rd party supplier of IBM® parts. We started making desktop computers and servers in 1997. In 2003, we moved into our current facility in Fargo, ND. Our phenomenal growth has resulted from high demand for our systems and from our reputation for standing behind our products, with superior customer support. To our customers, DakTech means more than a large, national computer company. To them we mean tested quality and unequaled customer support. DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
2,"Contact Us | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Contact Us DakTech Computers 3502 36th Street SouthwestFargo, ND 58104 Phone: (800) 325 3238Phone: (701) 282 6686Fax: (701) 282 9690 Send Us A Message We will get back to you as soon as possible. Name * Email * Message * DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
3,"Video & Photo Editing | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Video & Photo Editing Discovery H610 Customized for Video Editing Intel® H610 Chipset Intel® 12th and 13th Gen Up to 64GB DDR4 Intel UHD 730/770 Graphics Intel 1GbE HDMI/DisplayPort/VGA 7 Year Parts/Labor Warranty Free Lifetime Tech Support View Model Gemini Q670 Customized for Video Editing Intel® Q670 Chipset Intel® 12th and 13th Gen Up to 128GB DRR5 Intel® UHD 730/770Graphics Intel® I219-LM Gig TPM 2 x DPs/ 1 x HDMI 7 Year Parts/Labor Warranty Free Lifetime Tech Support View Model Gemini Z790 Customized for Video Editing Intel® Z790 Chipset Intel 13th Gen 128GB Max Memory DDR5 NVMe RAID 0/1/5, SATA RAID 0/1/5/10 Realtek 2.5Gb Ethernet 7 Year Parts/Labor Warranty Free Lifetime Tech Support View Model DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
4,"Employee Computers | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Employee Computers Orion AL Micro PC Intel® Celeron® N100 Intel® Pentium® N200 Up to 16GB DDR4 M.2 SSD Options Intel® UHD Graphics Intel® Wireless-AC 9462 Dual Intel® 1GbE TPM 5 Year Parts/Labor Warranty Free Lifetime Tech Support View Model Orion H610I Mini Intel® H610 Chipset Intel® 12th and 13th Gen up to 64GB DDR4 Intel UHD 730/770 Realtek 1GbE HDMI/Display Port/VGA 200W 80+ Gold Power Supply 7 Year Parts/Labor Warranty Free Lifetime Tech Support View Model Orion 15M Micro PC Intel® Core™ i3-1215U Intel® Core™ i5-1235U Intel® Core™ i7-1255U Up to 64GB DDR4 Iris™ Xe Graphics/UHD m.2 SSD Options Intel® Wi-Fi 6E AX211 Dual Lan 1GB/ 2.5GB TPM 5 Year Parts/Labor Warranty Free Lifetime Tech Support View Model DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
5,"Engineering Workstations | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Engineering Workstations DXEWRKP12 Xeon E Series Customized for CAD/CAM Intel® C252 Chipset Intel® Xeon-E Series Processors Up to 128GB DDR4 ECC 3200MHz Certified Graphics Cards Raid 0,1,5,10 Dual Port Intel I210AT LAN 7 Year Parts/Labor Warranty Free Lifetime Tech Support View Model Gemini Z790 Video Editing Customized CAD/CAM Intel® Z790 Chipset Intel 13th Gen 128GB Max Memory DDR5 NVMe RAID 0/1/5, SATA RAID 0/1/5/10 Realtek 2.5Gb Ethernet 7 Year Parts/Labor Warranty Free Lifetime Tech Support View Model Gemini X299 XTreme Customized for CAD/CAM Intel® X299 Chipset Intel Core I9 X-Series Processors Up to 128GB DDR4 Hyper X Certified Graphics Cards Raid 0,1,5,10 10/100/1000 Ethernet 7 Year Parts/Labor Warranty Free Lifetime Tech Support View Model DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
6,"Servers | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Servers DXS1UR212 Xeon Scalable Server Intel Xeon Scalable Processors 3rd Gen Intel M50CYP2SB1U Server Board 32 Memory Slots Up to 6TB Per Proc 3200Mhz 12 x 2.5"" Hot Swap Bays Hardware Raid Support Support for 2 x m.2 Boot/OS Drives 1300 Watt Power Supply 7 Year Parts/Labor Server Warranty Free Lifetime Tech Support 1U Form Factor 17.24"" x 30.74""x 1.70"" View Model DXS2UR312 Xeon Scalable Server Intel Xeon Scalable Processors 3rd Gen Intel M50CYP2SB1U Server Board 32 Memory Slots Up to 6TB Per Proc 3200Mhz 12 x 3.5/2.5"" Hot Swap Bays Hardware Raid Support Support for 2 x m.2 Boot/OS Drives 1300 Watt Power Supply 7 Year Parts/Labor Server Warranty Free Lifetime Tech Support 2U Form Factor 28.03 x 17.28 x 3.5"""" View Model 4 GPU DXSSPESC4000 2U Server Intel Xeon Scalable Processors 3rd Gen Z12PG-D16 Server Board 4 Dual Slot GPU's 16 Memory Slots Up to 2TB Per Proc 3200Mhz 8 x 2.5""/3.5"" Hot Swap Bays Hardware Raid Support 1 x m.2 Boot/OS Drives 1+1 1600 Watt Power Supplies 7 Year Parts/Labor Server Warranty Free Lifetime Tech Support 2U Form Factor 31.50"" x 17.22""x 3.46"" View Model DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
7,"Working Remote | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Working Remote Working Remote Can Not Function Without Technology At DakTech, we provide computers, workstations and more to businesses who want to perform efficiently. Microsoft Surface Laptop 4 13.5” Display, 2256 x 1504 15"" Display, 2496 x 1664 10-point multi-touch Up to 17.5 Hours Battery Life SSD NVMe Drive Options WiFi 6 Win 10 Pro USB-C x 1 / USB 3.0 x 1 TPM 2.0 Web Cam 720P Stereo Speakers 13.4” x 9.6” x 0.6” View Model Orion 15M Micro PC Intel® Core™ i3-1215U Intel® Core™ i5-1235U Intel® Core™ i7-1255U Up to 64GB DDR4 Iris™ Xe Graphics/UHD m.2 SSD Options Intel® Wi-Fi 6E AX211 Dual Lan 1GB/ 2.5GB TPM 5 Year Parts/Labor Warranty Free Lifetime Tech Support View Model Optoma Interactive Panel Optoma Creative Touch 4K UHD Interactive Panel 65"" 4K, 75"" 4K, 86"" 4K Resolution 3840 x 2160 (4K UHD) Brightness 400cd/m2 Contrast 5000:1 Contrast 7000:1 Dynamic View Angle 178° Display Colors 1.07 B Audio 2 x 20W Touch Point 20 Points 3 x HDMI, 1 x VGA, 1 x Audio 3.5mm, 1 x S/PDIF 4 x USB 3.0, 1 x USB 2.0, 1 x RS232, 2 x RJ45, 1 x USB-C, 2 x USB Touchport 3 Year On Site Warranty View Model Client Testimonial DakTech has been a partner of Taylored Systems for many years, and has always provided us with excellent pre- and post-sales support on all of their products. DakTech offers a level of personalized attention and care that we know we wouldn’t get with other vendors, and we always feel as though DakTech has our mutual best interest in mind. The quality of the hardware is always top-notch, and we trust it to run all of our most critical infrastructure. Thanks DakTech! David Rash CCNA, ZCSE-AProject Manager – IT Services We Partner with the Best Names in Software and Hardware DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
8,"EdTech for K-12 Education | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In EdTech for K-12 Education Helping Schools Choose The Right Systems For Their Needs Classroom Lab Computers Learn More Staff Workstations Learn More Servers Learn More CAD/CAM Workstations Learn More Video & Photo Editing Learn More Interactive Flat Panels Learn More Client Testimonial My school district started doing business with DakTech back in 2003, when I was a young technology coordinator impressed by an extended desktop warranty. After a short time dealing with our salesperson, Mike Tupa, and the DakTech support team, I was hooked on every aspect of their sales and service. Although we sometimes support other devices that teachers/admins use, I always find myself telling someone the story of ""how much easier and better this is with DakTech."" Tim CrotwellNetwork Administrator We Partner with the Best Names in Software and Hardware DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
9,"Higher Education | DakTech Computers (800) 325 3238 About Us Contact Us Login Business Video & Photo Editing Employee Computers Engineering Workstations Servers Working Remote Education K-12 Higher Education Remote Learning eSports Government Staff Workstations Servers Products Desktops eSports Arena Laptops Servers Interactive Flat Panels Virtualization Workstations Support Download Drivers Remote Support RMA Request Warranty Log In Higher Education Helping Schools Choose The Right Systems For Their Needs Classroom Lab Computers Learn More Staff Workstations Learn More Servers Learn More CAD/CAM Workstations Learn More Video & Photo Editing Learn More Interactive Flat Panels Learn More Client Testimonial My school district started doing business with DakTech back in 2003, when I was a young technology coordinator impressed by an extended desktop warranty. After a short time dealing with our salesperson, Mike Tupa, and the DakTech support team, I was hooked on every aspect of their sales and service. Although we sometimes support other devices that teachers/admins use, I always find myself telling someone the story of ""how much easier and better this is with DakTech."" Tim CrotwellNetwork Administrator We Partner with the Best Names in Software and Hardware DakTech Computers DakTech is a leading custom computer manufacturer and value-added reseller with over 30 years of industry experience. Our engineering expertise, services, and industry leading warranties bring value and the lowest total cost of ownership for the needs of SMB, government, education, commercial, and retail customers. Contact Us Phone: (800) 325 3238 Fax: (701) 282 9690 Sales: sales@daktech.com Support: techsupport@daktech.com Our Location 3502 36th Street Southwest, Fargo ND"
