,Data
0,"Home | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal INTRODUCING.... Composite Grain Trailer Haul More Bushels than Ever Before! Learn More Why Trail King We invest in our employees Find Your Career Why Trail King We Offer Equipment Financing Learn More Why Trail King We Connect With Our Customers Connect With Us! Design your custom trailer today! Together, we are BUILDING SUCCESS. Locate a Rep! WHO WE ARE Trail King Industries, Inc., headquartered in Mitchell, SD, is the leading North American manufacturer of a complete line of trailers. We design, engineer, and manufacture trailers to serve a wide variety of applications for diverse markets, including construction, agriculture, transportation, waste and recycling, and specialized hauling. Over the years, we’ve built a reputation for unsurpassed quality, reliability, and performance. Learn More COMPLETE LINE OF HAULING SOLUTIONS Click each product line to view photos, options, specs, and more. View More Agriculture See All Materials Hauling See All Open Deck Commercial See All Open Deck Construction See All Specialized See All Tagalong See All WHY TRAIL KING Protect the things that matter most. Your equipment. Your brand. Your bottom line. Trail King uses only the highest quality products available to manufacture our line of trailers, including our paint process. Every trailer includes zinc rich primer and an option for you to get custom colors. Check out our color chart to find your perfect match! Learn More About Our Paint Process I’ve pulled a lot of trailers and my Trail King holds up better than any of them, no matter what I put on it. - Steven Lough Hands down the best trailers money can buy. No other specialized trailer has the integrity a Trail King does. If your heavy specialized carrier shows up with anything other than a Trail King they are simply ill prepared for the job. - Frontier Specialized Heavy Transport Trail King wrote the book on customer service!! My experience was the best with Brian Hofer, he went well beyond customer service and provided an experience unmatched by most. I will always recommend Trail King and their Director of Customer Service for future opportunities. - Samuel Skierski Only trailer I’ve ever owned that I haven’t been afraid to push to its limits. Quality built with minimal if any down time. - Ben Bruinius Love my stepdeck! It’s light but built heavy duty!! - Jamie Donaldson Trail King has a great product and my first pick for a Heavy Haul trailer. - James West Out of all the trailers I’ve pulled I find trail king is the most user friendly. And in my opinion they build the best trailers in the industry. - Michael Renner I’m proud to own this piece of equipment and can’t tell you how much difference it makes using equipment that is perfectly tailored for the job I do. It makes everything a breeze. Thanks again! This trailer is a masterpiece. Best decision I ever made was to buy a Trail King. - Brad A Hunt & Sons Trucking We don't just sell trailers, we provide finance. refurb. parts. Finance We offer innovative payment programs designed with an understanding of the changing demands of your business. 100% financing of equipment. Refurb Enhance your trailer’s appearance, extend its useful life, and increase its future resale value. Parts Our parts system includes access to over 10,000 on-hand quantities and a variety of online tools to make sure that your Trail King Certified Parts Dealer can meet your needs promptly and efficiently. Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
1,"Solutions | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Solutions YOU HAVE HAULING CHALLENGES,TRAIL KING HAS SOLUTIONS Our primary goal is your success, and our trailers are customized for unique challenges. For over 40 years, Trail King has been making “impossible” hauls possible. Together we can create a solution that is just right for your team. Show All TKCHT Grain Hopper Agriculture TKAPB Aluminum Pneumatic Bulk Materials Hauling TKBD Bottom Dump Materials Hauling TKLBH Heavy Live Bottom Materials Hauling TKLB Live Bottom Materials Hauling TKSSD Steel Side Dump Materials Hauling Hydraulic Detachable Gooseneck Open Deck Commercial Detachable Double Drop Extendable Open Deck Commercial TKMG-HG Detachable Gooseneck Open Deck Commercial Steel-Aluminum Step Deck Open Deck Commercial TKHDG Hydraulic Detachable Gooseneck Open Deck Construction TKHST Hydraulic Sliding Tail Open Deck Construction TKHT Hydraulic Tail Open Deck Construction Paver Special Open Deck Construction TKRB Rollback Open Deck Construction TKSA Sliding Axle Open Deck Construction TKEFX Blade Hauler Specialized Boosters Specialized Perimeter Expanding Frame Specialized Dual Lane Transport Specialized Schnable System Specialized Steerable Dolly Specialized Jeeps Specialized Multi-Axle Specialized TKLP Tag Tagalong TKTLP Tilt Tagalong TKTU Tilt Utility Tagalong TKU Utility Tagalong TKRB Rollback Tagalong Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
2,"Agriculture | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Agriculture Unmatched in versatility and efficiency. When time matters and productivity counts, you need a dependable grain hauling solution. Trail King has built upon our outstanding reputation and superior quality design to deliver the perfect hauling solution for your operation. TKCHT Grain Hopper Agriculture Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
3,"Materials Hauling | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Materials Hauling Designed to perform, engineered to last. Trail King provides a full line of trailers to help you get the job done. Our trailers are designed with rugged strength and durability to stand up to even the toughest loading and hauling demands under the toughest hauling conditions. TKAPB Aluminum Pneumatic Bulk Materials Hauling TKBD Bottom Dump Materials Hauling TKLBH Heavy Live Bottom Materials Hauling TKLB Live Bottom Materials Hauling TKSSD Steel Side Dump Materials Hauling Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
4,"Open Deck Commercial | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Open Deck Commercial Strong, yet lightweight, offering the ultimate in hauling versatility. Engineered for superior load-hauling strength: our commercial products can accommodate your toughest payloads – short, tall, or any variety of cargo configurations. Hydraulic Detachable Gooseneck Open Deck Commercial Detachable Double Drop Extendable Open Deck Commercial TKMG-HG Detachable Gooseneck Open Deck Commercial Steel-Aluminum Step Deck Open Deck Commercial Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
5,"Open Deck Construction | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Open Deck Construction Rugged, dependable, low-maintenance performance. Designed to make loading and unloading a simple one-person operation, Trail King’s open deck products have become the “go-to” choice for construction and towing professionals. The dependable load-hauling strength, durability and versatility can stand up to any challenge – even tough to scale loads. TKHDG Hydraulic Detachable Gooseneck Open Deck Construction TKHST Hydraulic Sliding Tail Open Deck Construction TKHT Hydraulic Tail Open Deck Construction Paver Special Open Deck Construction TKRB Rollback Open Deck Construction TKSA Sliding Axle Open Deck Construction Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
6,"Specialized | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Specialized We turn impossible hauls into possible hauls, leading the industry in innovation. Trail King manufactures a wide variety of custom hauling solutions for the specialized transport industry, including multi-axle suspension beam and dual lane transport trailers, steerable dollies and schnable necks, wind turbine blade haulers, and so much more. We specialize in designing custom solutions for hauling your unique loads. TKEFX Blade Hauler Specialized Boosters Specialized Perimeter Expanding Frame Specialized Dual Lane Transport Specialized Schnable System Specialized Steerable Dolly Specialized Jeeps Specialized Multi-Axle Specialized Use #trailkingtrailers or tag us on Instagram or Facebook and you might see your specialized rig featured here! Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
7,"Tagalong | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Tagalong Small construction, big capabilities. Our utility trailers are expertly manufactured to be small, strong and stable. Proven to be low maintenance and long lasting, these trailers offer versatility and maximum payload capacity. TKLP Tag Tagalong TKTLP Tilt Tagalong TKTU Tilt Utility Tagalong TKU Utility Tagalong TKRB Rollback Tagalong Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
8,"Services | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Services Unwavering commitment to excellence. Protect your investment with our complete line of services. COMPREHENSIVE SUPPORT.UNMATCHED SERVICE. From financing a trailer, to a complete refurbishment at our Factory Service Center, Trail King is there to keep your team hauling, day in and day out. Our trusted network of dealers and certified experts are ready to assist you. Finance We offer innovative payment programs designed with an understanding of the changing demands of your business. 100% financing of equipment. Refurb Enhance your trailer’s appearance, extend its useful life, and increase its future resale value. Parts Our parts system includes access to over 10,000 on-hand quantities and a variety of online tools to make sure your Trail King Certified Parts Dealer can meet your needs. Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
9,"Parts | Trail King Industries 800-843-3324 Solutions Agriculture Materials Hauling Open Deck Commercial Open Deck Construction Specialized Tagalong Services Parts Refurb & Service Warranty & Technical Assistance Paint Process Find A Rep Our Company Our Why Our History News & Events Brand Assets Official Trail King Merchandise Government Contracts Careers Workforce Recruitment Program Employment Opportunities Apply Now Contact Us Customer Survey Get Financing Contact Finance Dealer Portal Parts When you need parts, you need them fast. Contact you local Trail King authorized dealer to get started! Contact Us Today! WE KEEP YOUR TEAM HAULING Trail King’s network of Certified Dealer, Fleet, and Service Facilities are ready to assist you in finding and ordering Trail King parts to keep you operating at top performance all year long. For prompt access to thousands of on-hand parts, please contact your local, authorized Trail King dealer location. Immediate Parts Availability We stock over 20,000 trailer parts and offer same-day shipping in order to get your trailer back on the road as soon as possible. Dedicated Customer Service Our knowledgeable and experienced team of professionals aim to meet your parts needs, delivering fast turnaround and reliable technical support. 24/7 Online Access Our authorized dealers use an internet-based, user-friendly tool for quick and convenient access to availability, pricing, ordering, and BOM lookup. Contact your dealer for more information. With Trail King dealer locations across North America, there is a local, authorized dealer waiting to assist you. If you are looking for general parts support, a product number or help in finding your authorized dealer, please contact us at 800-843-3324 or parts@trailking.com. *Authorized Independent Dealer services may vary by location Contact Us! Finance We offer innovative payment programs designed with an understanding of the changing demands of your business. 100% financing of equipment. Refurb Enhance your trailer’s appearance, extend its useful life, and increase its future resale value. Get in Touch About Trail King Leading North American manufacturer of trailers for the construction, agriculture, transportation, waste & recycling, and specialized hauling industries. Newsletter Signup Success! You've been added to our email list. GO! QUICK LINKS Solutions Services Find A Rep Our Company Careers Contact Us Get Financing Dealer Portal CONTACT US 300 E Norway Ave Mitchell, SD ,57301 800-843-3324 sales@trailking.com FOLLOW US © 2023 Trail King Industries All Rights Reserved. Privacy Policy Terms of Use Chat with us, powered by LiveChat"
