,Data
0,"Home - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Serious About Precision High-Precision Custom Components from Ultra-Hard Materials Standard and Custom Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades US Manufacturer for nearly 70 years Request a Quote Upcoming Tradeshows OFC EXHIBITION – Booth 1525 March 24-28, 2024 San Diego Convention Center - San Diego, CA Stay Connected Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
1,"About Us - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home About Us About Us Custom and specialty manufacturing Microlap is a leading U.S. manufacturer of high-precision industrial components made from synthetic ruby, sapphire, ceramic, carbide and other hard materials. We offer standard products or we can custom-manufacture to your exact specifications. Quality control Strict quality controls are in effect during every phase of design and production. Using microscopes and highly precise measuring instruments, our quality assurance specialists ensure the ultimate in product consistency. Serious about precision for nearly 70 years Microlap was established by the federal government as the Turtle Mountain Ordnance Plant, with production of jewel bearings beginning in 1952. The name was changed in 1973 to the William Langer Jewel Bearing Plant. In 1996, the plant was privatized and renamed Microlap Technologies, Inc. Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
2,"Products Archive - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
3,"Services - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Services Services Microlap specializes in producing high-quality finished products of nearly any size or configuration to meet your specific requirements. From prototype to production orders, we have the capability to respond quickly while offering competitive rates. Microlap specializes in the following services Design assistancePrototypingCuttingGrindingDrillingLappingPolishingInspectingCleaning Quality Controls Stringent quality controls are an integral part of our manufacturing operations. Using microscopes and highly precise measuring instruments, our quality assurance staff ensures the ultimate in product consistency. Quality Control and Calibration Services: Cleaning and packagingDimensional inspectionsSurface finish inspectionsTalyrond measurement capabilitiesComplete in-house calibration capabilitiesVerification of wire and plug gage sizesMeasurement standards traceable to NIST If you need a precision component that is extremely durable and requires a specific configuration, Microlap can custom manufacture an economical solution to meet your exact specifications. Request a Quote Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
4,"Materials - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Materials Materials Microlap is a leading US manufacturer of extremely high precision industrial components made from synthetic ruby, synthetic sapphire, ceramic, carbide and other hard materials. Corundum Corundum is the second-hardest natural mineral yet discovered. Red corundum is known as ruby, and all other colors of corundum are known as sapphire. Sapphire and ruby are durable materials with excellent optical characteristics. The durability and hardness of corundum make it resistant to abrasion and damage. Corundum’s unique characteristics make it ideal for a wide range of applications across a variety of industries. Microlap’s unique mechanical manufacturing processes ensures optimum material integrity, while reducing fatigue and stress. Typical uses for Synthetic Ruby and Sapphire Corundum: Ball check valves for precision metering pumps and dispensersJewel BearingsWindows for high temperature or corrosive environmentPen tipsOrifice for air, gas and liquid meteringPistonsWater-jet cutting orifices and nozzlesWire guideProbes for measuring instrumentsBearingsProbes for measuring instrumentsStylus tipsMagnetic tapes cleaning bladesAir bearingsNozzle for printing headsFiber-optic lensesCapillaries and collimatorsChemical and medical valvesFiber-optic connectorsGage contact pointsOptical fiber slicing tipsMedical implant devicesAperture for particles countingGyroscopesRestrictorsAircraft instrumentation Unique Characteristics of Synthetic Ruby and Sapphire Corundum: Single crystalHigh thermal conductivityZero porosityHeat resistantLow friction coefficientChemical inertnessHigh polish attainableLong lifeExtreme hardnessLow specific gravityWear resistantHigh refraction indexNon-magneticShock resistantHigh dielectric strengthCorrosion resistant If you need a precision component that is extremely durable, resistant to corrosion, chemically inert, with zero porosity, Microlap can custom manufacture an economical solution to meet your exact specifications. Request a Quote Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
5,"Ferrules - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Ferrules Ferrules Standard ferrule types are SC, FC, ST, LC and SMA Other standard ferrule sizes include 1.58mm and 2.00mm OD ferrules Available in single-mode or multi-mode Available in zirconia or alumina ceramic material High dimensional accuracy and tight tolerances Offers high strength, performance and durability Available with a variety of end face tip configurations Custom ID, OD, Length dimensions and tolerances available upon request Custom features such as grooves, notches, counterbores, stepped OD’s, vent holes, etc also available upon request 1.25 OD LC Type 1.25 OD MU Type 1.58 OD Type 2.00 OD Type 2.5 OD SC Type 2.5 OD ST Type 2.5 OD APC-C Type 3.17 OD SMA Type Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
6,"Sleeves - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Sleeves Sleeves Sleeves are available as solid or split alignment sleeves Standard sleeve types are LC, SC and SMA Other standard sizes include 1.58mm and 2.00mm ID sleeves Available in zirconia or alumina ceramic material High dimensional accuracy and tight tolerances Offers high strength, performance and durability Custom ID, OD, Length dimensions and tolerances available upon request Custom features such as grooves, notches, etc available upon request LC Sleeve 1.58mm ID Sleeve 2.00mm ID Sleeve SC Sleeve SMA Sleeve Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
7,"Custom Components - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Custom Components Custom Components Microlap specializes in producing high-quality custom products to each customer’s specific dimensions, tolerances and finishes. From prototype to production orders, we have the capability to respond quickly while offering competitive prices. Complete the Request a Quote (hyperlink) form to send us your specific requirements and drawings. Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
8,"Orifices/Nozzles - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Orifices/Nozzles Orifices/Nozzles Made from high-quality synthetic ruby and sapphire Synthetic ruby and sapphire is wear-resistant, temperature-resistant, chemically inert and incredibly durable Orifices are mechanically drilled, eliminating material fatigue and stress associated with laser drilling techniques High precision control of the ID and edge radius results in precise flow consistency, coherent stream and excellent flow consistency Typical applications are water jet cutting and cleaning nozzles, ink jet nozzles, air jets, medical devices and valve seats Custom dimensions and tolerances and surface finishes available upon request Orifices/Nozzles Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
9,"Windows/Lenses - Microlap Microlap About Us Products Ferrules Sleeves Custom Components Orifices/Nozzles Windows/Lenses Jewel Bearings Pins/Rods Balls Blades Services Materials Contact Request a Quote Request a Quote Home Products Windows/Lenses Windows/Lenses Made from high-quality, optical grade synthetic sapphire Available in circular, square or rectangular shapes and custom sizes Synthetic sapphire is wear-resistant, temperature-resistant, chemically inert and incredibly durable Typical applications for windows include optical systems, medical device equipment, bar code readers, infrared devices, ultraviolet devices, watch or camera devices Custom dimensions and tolerances available upon request Contact Careers Tradeshows Join Mailing List Privacy Policy Microlap Technologies 213 1st Street NW | P.O. Box 280 Rolla, ND 58367 800-382-2496 US Manufacturer"
