,Data
0,mackow industries skip to content news blog 18667748323 capabilities laser cutting – sheet & tube cnc press brake forming cnc machining & fabrication welding custom design equipment sectors customers projects about team careers contact get a quote capabilities laser cutting – sheet & tube cnc press brake forming cnc machining & fabrication welding custom design equipment sectors customers projects about team careers contact news blog 18667748323 get a quote cutting metal meets cutting edge as north america’s leading single source for custom welding metal fabrication and manufacturing we offer 360⁰ solutions for our customers with an unparalleled commitment to quality and cost control learn more as north america’s leading single source for custom welding metal fabrication and manufacturing we offer 360⁰ solutions for our customers with an unparalleled commitment to quality and cost control learn more our experience capabilities and expertise make mackow the one-stop shop you can count on as your partner in meeting all your metal fabrication needs laser cutting – sheet & tube laser cutting – sheet & tube we use the latest in laser cutting technology so any sheet metal component can be fabricated learn more cnc press brake forming cnc press brake forming no matter how sophisticated the project our wide range of cnc press brake options can tackle it all with ease learn more cnc machining & fabrication cnc machining & fabrication no matter how complex the project and no matter what volumes are required our cnc machining & fabrication systems delivery quality products every time learn more welding welding whatever the scope of the project mackow offers tig and mig welding solutions backed by superior quality and craftsmanship learn more sectors we service agriculture agriculture is constantly facing new challenges and we pride ourselves on providing sector-specific solutions learn more transportation we know the transportation industry inside and out let mackow put that experience to work for you learn more recreation quality and safety are always top of mind making mackow a perfect partner for recreational projects learn more “the professionalism and skill mackow uses in their daily operation produced the quality product we were looking for in our walkabout mother bin” said dave hedt owner of walkabout mother bins “the working relationship we built with mackow exceeded our expectation with their flexibility in being able to work to our schedule and deliver our product on time”dave hedt walkabout mother bins“our goal is to exceed your requirements with respect to quality budget and delivery – not sometimes but every time plus we all know time is money for our customers so our priority will always be to fabricate and assemble your order to the fullest extent possible prior to to shipping”bob cassie sales manager“the relationship we’ve built with mackow is really important to me and my company by having everything under one roof; materials assembly sourcing and quality control i can focus on what i’m good at and i don’t have to worry about the heavy lifting plus by working with mackow we can produce at a scale that exceeds our previous capacity mackow offers manufacturing solutions that take away the problems of logistics because it’s a one stop shop welding laser cutting machining; everything is where i need it to be and that’s at mackow”mark badgerow – owner mission overland work with us sectors who we’ve helped see all jul 12 2021 delivering the parts meets looking the part mackow industries has always been known as a leader in metal fabrication today we’re thrilled to introduce our customers suppliers and all other members of the mackow family to our new brand identity that matches the same strenh and innovation… read more mackow tweets · now tell us what you need we’ll make it happen it’s a simple philosophy but it’s one we take a lot of pride in at mackow we don’t just provide solutions for our clients – we are the solution whatever the project our team has the talent and expertise to design manufacture and deliver the products you require not just as a supplier but as a partner dedicated to solving problems and helping your business succeed if that sounds like a company you’d like to work with just tell us what you need and we’ll take care of the rest get a quote subscribe first name email last name 18667748323 e: careers © copyright 2021 mackow industries all rights reserved privacy policy
1,custom design - mackow industries skip to content get a quote capabilities custom design some projects are standard others are anything but not only can our team at mackow manufacture your metal requirements we offer a variety of services to tailor solutions specific to your needs we can consult on your custom designs or help create them from the ground up plus we offer a variety of add-on services such as powder-coating assembly and logistic solutions we know every client has their own unique challenges and we make it our business to design solutions with you and for you as part of our everyday customer experience project gallery see all faqs what types of material does mackow work with mackow works with all type of carbon steels as well as stainless and aluminum we cut bend machine weld and assemble components from a wide variety of metals hot & cold rolled steel carbon steel aluminum brass bronze copper corten 50a carbon steel grade 50 steel stainless steel castings does mackow manufacture large components yes mackow can manufacture large components and assemblies from large welded stainless steel and aluminum fuel tanks to major agricultural large tillage equipment and transportation structural assemblies bus frame weldments can mackow supply complete assemblies with specialty processes mackow can supply complete value-added components that use specialty plating coating or custom hardware mackow has access to a large array of suppliers that can be used to complete almost any component or assembly does mackow offer design services yes mackow can offer excellent advice and feedback on manufacturing components and assemblies of all types questions there’s nothing we like more than talking shop if you haven’t found the answers or information you’re looking for connect with us anytime and we’d love to help connect more capabilities laser cutting – sheet & tube laser cutting – sheet & tube we use the latest in laser cutting technology so any sheet metal component can be fabricated learn more cnc press brake forming cnc press brake forming no matter how sophisticated the project our wide range of cnc press brake options can tackle it all with ease learn more cnc machining & fabrication cnc machining & fabrication no matter how complex the project and no matter what volumes are required our cnc machining & fabrication systems delivery quality products every time learn more welding welding whatever the scope of the project mackow offers tig and mig welding solutions backed by superior quality and craftsmanship learn more tell us what you need we’ll make it happen it’s a simple philosophy but it’s one we take a lot of pride in at mackow we don’t just provide solutions for our clients – we are the solution whatever the project our team has the talent and expertise to design manufacture and deliver the products you require not just as a supplier but as a partner dedicated to solving problems and helping your business succeed if that sounds like a company you’d like to work with just tell us what you need and we’ll take care of the rest get a quote
2,equipment - mackow industries skip to content get a quote equipment laser equipmentcnc brake press equipmentcnc machining centerssawingcnc rollingshearingweldingpowdercoating laser equipment mitsubishi gx-f 100 series 10k sheet laser trumpf tru laser 3040 flat sheet fiber laser 5kw with load and unload system 1’ trumpf tru laser tube 7000 specifications 30′ load capacity for 10 in tube diameter 21′ part removal station trumpf 5040 fiber trulaser 5000 watts trumpf 3020 co2 laser 3000 watts cnc brake press equipment accurpress edge 435012 cnc brake 12’ long 350 ton capacity w/ fully automatic back gauge accurpress 725012 nc brake 12’ long 250 ton capacity w/ semi-auto back gauge accurpress 710010 cnc brake 10’ long 100 ton capacity w/semi-auto back gauge adjustable hydraulic press 50 ton capacity trumpf tru bend 5230 10’ 250 – ton press brake accupress 150 ton x 10ft cnc machining centers haas horizontal cnc mill 5 machine centers haas sl-30t cnc lathes 2 machine centers takumi v32 vertical mill 2 machine centers takumi v22 1 machine center takumi v17 vertical mill 1 machine center takumi v17a vertical mill 1 machine center haas vf3 vertical mill 2 machine centers haas vf4 vertical mill 3 machine centers haas vf5ss vertical mill 1 machine center haas vf6 vertical mill 1 machine center haas sl-30 1 machine center haas sl-30bb lathe 1 machine center haas hl-4 2 machine centers haas st-30y lathe 3 machine centers haas st-30 lathe 1 machine center okuma genos lathe 1 machine center doosan hp5500 horizontal mill 1 machine center toshiba nx-630 horizontal mill 1 machine center manual mill 4 machine centers manual lathe 1 machine center turret lathe 1 machine center sawing hyd-mech s-20 manual saw with an 18” wide vise capable of cutting hyd-mech s-23a automatic saw with an 18” wide vise capable of cutting chop saw cold saw cnc rolling davi – mca2017 digital roller cnc 10’ roller 7ga hr x 6 ft 4” dia power-roller 10ga hr x 4 ft 4” dia power-roller 16ga hr x 3 ft 2” dia hand-roller shearing accurshear welding mig welder 22 stations tig welder 5 stations spot welder 2 stations assembly capabilities powdercoating powder coating 10’ x 10’ x 8’ oven capacity c/w sand blast booth 10’ x 20’ sand blast and wet paint
3,projects - mackow industries skip to content get a quote projects at mackow industries the only thing that makes us more excited than a job well done is your job well done just like we work with amazing people we work with amazing customers to make their needs a reality see our fabrication equipment list for additional details on how we can help you with fabrication needs here are just a few snapshots of the projects we’ve worked on and the incredible partners who have trusted us with their business filters: show all agriculture recreation science transportation sorry there are no items to show mac shac mackow ice shack mac shac mackow ice shack mission overland summit series recreation transportation mission overland summit series recreation transportation our client mission overland did such a great job on selling these superior adventure trailers that the demand from their customers throughout north america became overwhelming therefore a partnership was created with mackow industries building these in winnipeg mb and west fargo nd from this we were able to provide a production facility that helped meet the soaring demand for their trailers and cultivate a strong and growing relationship between both of our companies walkabout mother bins agriculture transportation walkabout mother bins agriculture transportation this portable infield storage bin is an innovative product used for harvest in the agriculture industry that mackow has been building for walkabout mother bin for over 2 years now which has taken off with producers in the usa and is now available in canada boot boy recreation boot boy recreation here is a new product manufactured by mackow industries for our client boot boy the boot-boy industrial footwear cleaner is csa approved frame that is used in many different industries such as oil and mining facilities food processing plants health centers construction sites and many others dennis eagle transportation dennis eagle transportation being a partner with our client dennis eagle is an honour for mackow industries as we fabricate parts of the chassis for these precision made vehicles conviron agriculture science conviron agriculture science mackow industries is proud to be a long-time partner with conviron who is a world leading designer and supplier of plant growth chambers
4,about - mackow industries skip to content get a quote about our company isn’t greater than the sum of its parts we’re greater because of our parts if we sound confident it’s because we are it’s the confidence that comes with experience when it’s backed by the best equipment technology and people in the industry at mackow we take pride in our products but we make people our priority with expectations not only met but exceeded we put customers first and build relationships that last we stand by our work because we won’t stop until the job is done and done right it’s how we do business and it’s why we’re always trying to do it better partnerships & certifications mission we are a customer-focused growth oriented metal fabricator that provides innovative customer-specific solutions to first class companies we succeed by investing in our people processes and technology while enhancing profitability vision mackow industries will: create a safe and considerate working environmentencourage originality innovation and promote enthusiasm in meeting the customer’s needsendeavour to cultivate profit growth through efficient production methods and procedurescreate a distinct and progressive corporate culturemake positive contributions to the community in which we operate and strive to become a model corporate citizen our defining principles communication teamwork responsibility hands-on approach “the professionalism and skill mackow uses in their daily operation produced the quality product we were looking for in our walkabout mother bin” said dave hedt owner of walkabout mother bins “the working relationship we built with mackow exceeded our expectation with their flexibility in being able to work to our schedule and deliver our product on time”dave hedt walkabout mother bins“our goal is to exceed your requirements with respect to quality budget and delivery – not sometimes but every time plus we all know time is money for our customers so our priority will always be to fabricate and assemble your order to the fullest extent possible prior to to shipping”bob cassie sales manager“the relationship we’ve built with mackow is really important to me and my company by having everything under one roof; materials assembly sourcing and quality control i can focus on what i’m good at and i don’t have to worry about the heavy lifting plus by working with mackow we can produce at a scale that exceeds our previous capacity mackow offers manufacturing solutions that take away the problems of logistics because it’s a one stop shop welding laser cutting machining; everything is where i need it to be and that’s at mackow”mark badgerow – owner mission overland work with us sectors our history mackow industries was founded by john mackow in 1984 our success and longevity is tied directly to the talent and dedication of people we are proud to say are the very best in the business starting as a small machine shop a strategic partnership with mosaic capital partners in 2016 gave us the resources we needed to meet increasing demand that partnership led to our second 60000 sqft facility in 2017 – the first still located in winnipeg manitoba ca and the second located in west fargo north dakota us to better serve our us client base our combined abilities have created a metal manufacturing powerhouse that focuses on innovation efficiency and personalized service to meet our customers’ needs from day one we learned the importance of hard work customer service and relationships today we’re bigger better and faster – but those same values drive us now more than ever as north america’s leading single source for custom welding metal fabrication and manufacturing our team other companies may use similar processes and equipment – the same can be said of almost any industry but it’s the people at mackow who make us who we are and who deliver the very best products and services to our valued customers meet the team
5,team - mackow industries skip to content get a quote team other companies may use similar processes and equipment – the same can be said of almost any industry but it’s the people at mackow who make us who we are and who deliver the very best products and services to our valued customers ryan mcclelland vp of north american operationse: rod mastel general manager usae: greg wynnobeloperations manager winnipeg e: bob cassie business development managere: laura wilsoncontrollere:
6,news blog - mackow industries skip to content get a quote news blog jul 12 2021 delivering the parts meets looking the part mackow industries has always been known as a leader in metal fabrication today we’re thrilled to introduce our customers suppliers and all other members of the mackow family to our new brand identity that matches the same strenh and innovation… read more mackow by tags: all agriculture mackow transportation by date: all july 2021 june 2021 reset all july 12 2021 delivering the parts meets looking the part mackow industries has always been known as a leader in metal fabrication today we’re thrilled to introduce our customers suppliers and all other members of the mackow family to our new brand identity that matches the same strenh and read more mackow june 4 2021 mother of a project in agriculture like in so many industries finding efficiencies puts more money directly in the pocket of the producer that’s exactly what the walkabout mother bin is designed to do and it’s why mackow is proud to be the company’s read more agriculture transportation no information available for selected filter show more
7,laser cutting – sheet & tube - mackow industries skip to content get a quote capabilities laser cutting – sheet & tube we use the latest in laser cutting technology for our fiber sheet lasers and tube laser cutting solutions – so any sheet metal component starting as sheet plate or tube can be fabricated whether you need a quick prototype an individual component or part of a larger assembly our team has the skill technology and equipment to make it happen and the agility to turn things on a dime project gallery see all faqs what types of material does mackow work with mackow works with all type of carbon steels as well as stainless and aluminum we cut bend machine weld and assemble components from a wide variety of metals hot & cold rolled steel carbon steel aluminum brass bronze copper corten 50a carbon steel grade 50 steel stainless steel castings does mackow manufacture large components yes mackow can manufacture large components and assemblies from large welded stainless steel and aluminum fuel tanks to major agricultural large tillage equipment and transportation structural assemblies bus frame weldments can mackow supply complete assemblies with specialty processes mackow can supply complete value-added components that use specialty plating coating or custom hardware mackow has access to a large array of suppliers that can be used to complete almost any component or assembly does mackow offer design services yes mackow can offer excellent advice and feedback on manufacturing components and assemblies of all types questions there’s nothing we like more than talking shop if you haven’t found the answers or information you’re looking for connect with us anytime and we’d love to help connect more capabilities cnc press brake forming cnc press brake forming no matter how sophisticated the project our wide range of cnc press brake options can tackle it all with ease learn more cnc machining & fabrication cnc machining & fabrication no matter how complex the project and no matter what volumes are required our cnc machining & fabrication systems delivery quality products every time learn more welding welding whatever the scope of the project mackow offers tig and mig welding solutions backed by superior quality and craftsmanship learn more custom design custom design have a unique concept need help creating one our team brings concepts to life and can offer any level of design consultation learn more tell us what you need we’ll make it happen it’s a simple philosophy but it’s one we take a lot of pride in at mackow we don’t just provide solutions for our clients – we are the solution whatever the project our team has the talent and expertise to design manufacture and deliver the products you require not just as a supplier but as a partner dedicated to solving problems and helping your business succeed if that sounds like a company you’d like to work with just tell us what you need and we’ll take care of the rest get a quote
8,cnc press brake forming - mackow industries skip to content get a quote capabilities cnc press brake forming we combine the latest hardware technology with our innovative cad software to provide our industry-leading staff with the tools they need to produce any machined component that means we can deliver the most complicated and high-tolerance parts in low or high volume quantities on-time and on-budget our service offerings also include a wide range of cnc press brake options for forming parts used in a variety of applications no matter how sophisticated the project – multi-bend components used individually or as part of a larger assembly – our equipment can tackle it all with ease project gallery see all faqs what types of material does mackow work with mackow works with all type of carbon steels as well as stainless and aluminum we cut bend machine weld and assemble components from a wide variety of metals hot & cold rolled steel carbon steel aluminum brass bronze copper corten 50a carbon steel grade 50 steel stainless steel castings does mackow manufacture large components yes mackow can manufacture large components and assemblies from large welded stainless steel and aluminum fuel tanks to major agricultural large tillage equipment and transportation structural assemblies bus frame weldments can mackow supply complete assemblies with specialty processes mackow can supply complete value-added components that use specialty plating coating or custom hardware mackow has access to a large array of suppliers that can be used to complete almost any component or assembly does mackow offer design services yes mackow can offer excellent advice and feedback on manufacturing components and assemblies of all types questions there’s nothing we like more than talking shop if you haven’t found the answers or information you’re looking for connect with us anytime and we’d love to help connect more capabilities laser cutting – sheet & tube laser cutting – sheet & tube we use the latest in laser cutting technology so any sheet metal component can be fabricated learn more cnc machining & fabrication cnc machining & fabrication no matter how complex the project and no matter what volumes are required our cnc machining & fabrication systems delivery quality products every time learn more welding welding whatever the scope of the project mackow offers tig and mig welding solutions backed by superior quality and craftsmanship learn more custom design custom design have a unique concept need help creating one our team brings concepts to life and can offer any level of design consultation learn more tell us what you need we’ll make it happen it’s a simple philosophy but it’s one we take a lot of pride in at mackow we don’t just provide solutions for our clients – we are the solution whatever the project our team has the talent and expertise to design manufacture and deliver the products you require not just as a supplier but as a partner dedicated to solving problems and helping your business succeed if that sounds like a company you’d like to work with just tell us what you need and we’ll take care of the rest get a quote
9,cnc machining & fabrication - mackow industries skip to content get a quote capabilities cnc machining & fabrication if you can dream it we can build it with mackow industries’ comprehensive cnc fabrication services our team consists of highly-skilled machinists who have embraced the technology of advanced tooling and equipment experience matters when you offer any product for more than 25 years you tend to get pretty good at it and that’s how long mackow industries has been offering and perfecting its cnc machining services our years of investment in modern and sophisticated equipment such as 4 and 5 axis cnc milling live-tool cnc turning and high-speed cnc machining results in comprehensive and unique solutions for every client technology capabilities cnc machining v mill & h mill saw cutting tube bending technology trumpf haas doosan davi capabilities 5 axis haas along with our big bore doosan for larger projects project gallery see all faqs what types of material does mackow work with mackow works with all type of carbon steels as well as stainless and aluminum we cut bend machine weld and assemble components from a wide variety of metals hot & cold rolled steel carbon steel aluminum brass bronze copper corten 50a carbon steel grade 50 steel stainless steel castings does mackow manufacture large components yes mackow can manufacture large components and assemblies from large welded stainless steel and aluminum fuel tanks to major agricultural large tillage equipment and transportation structural assemblies bus frame weldments can mackow supply complete assemblies with specialty processes mackow can supply complete value-added components that use specialty plating coating or custom hardware mackow has access to a large array of suppliers that can be used to complete almost any component or assembly does mackow offer design services yes mackow can offer excellent advice and feedback on manufacturing components and assemblies of all types questions there’s nothing we like more than talking shop if you haven’t found the answers or information you’re looking for connect with us anytime and we’d love to help connect more capabilities laser cutting – sheet & tube laser cutting – sheet & tube we use the latest in laser cutting technology so any sheet metal component can be fabricated learn more cnc press brake forming cnc press brake forming no matter how sophisticated the project our wide range of cnc press brake options can tackle it all with ease learn more welding welding whatever the scope of the project mackow offers tig and mig welding solutions backed by superior quality and craftsmanship learn more custom design custom design have a unique concept need help creating one our team brings concepts to life and can offer any level of design consultation learn more tell us what you need we’ll make it happen it’s a simple philosophy but it’s one we take a lot of pride in at mackow we don’t just provide solutions for our clients – we are the solution whatever the project our team has the talent and expertise to design manufacture and deliver the products you require not just as a supplier but as a partner dedicated to solving problems and helping your business succeed if that sounds like a company you’d like to work with just tell us what you need and we’ll take care of the rest get a quote
