,Data
0,"Alloway — Sugarbeet & Agricultural Equipment Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder Sugarbeet & Agricultural Equipment The Alloway name has become synonymous with true quality and innovation in the production of reliable agriculture equipment for the farmers of the world.Manufactured and assembled by craftsmen, Alloway produces tillage equipment, row crop cultivators, shredders, defoliators and sugarbeet harvesters. We specialize in design & production of custom cultivators for a variety of crops and applications.Our products are known for high quality and long life. Contact a dealer near you or call us for more information. Play Video about Alloway All Products Overview Video NEW in 2023 HV-12R22 Sugarbeet harvester Play Video about 84” High-Volume Elevator The new Alloway HV-12R22 Rigid Sugarbeet Harvester is faster and more productive than any other machine on the market. Harvest at up to 7+ MPH in good conditions and the unique 84-inch high-volume curved scrub elevator will deliver more beets to your truck or cart than any of the competition. HV-8R22 Sugarbeet harvester Play Video The HV-8R22 Alloway Sugarbeet Harvester puts more beets in the truck, leaving very few beets in the rows. Field-proven, the HV-8R22 walks away from competitor machines, consistently harvesting in mixed field conditions at 5.5 MPH and in ideal conditions up to 7.0 MPH. Alloway Agricultural Product Lines Cultivators Read More >> Defoliators Read More >> Harvesters Read More >> Seedbedder Read More >> Shredders Read More >> Dealer Locator Find The Nearest Dealer Visit Us at These Shows See us at these shows too! Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
1,"Alloway Product Line | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder Alloway Product Line Alloway Sugarbeet HarvestersThe Alloway Sugarbeet Harvester has a lot of the same great features it had in the past, such as its exclusive curved parabolic elevator which eliminates troublesome spring tension arms and results in less beet damage and losses. The very-open overall design allows for service accessibility and unsurpassed visibility. Alloway ShreddersFrom the originator of the Tri-Lateral Hood design and spiral mounted flail tubes, the Alloway Shredder has always been #1 in performance and durability. A top quality shredder line with a heavier body, larger aluminum gearbox, 10” flail tubes, larger tires and 1000/1500 rpm rotor speed, we can keep up to the extra tough crops grown today. Alloway SeedbedderThe Alloway Seedbedder has all the old features plus lots of new ones. We still have the small tines on harrow frame but they have replaceable points to keep parts cost down. The rolling baskets have hydraulic down pressure and improved fiber bushings and hardened sleeves. Large transport tires and safety lights are standard equipment. Alloway Row Crop CultivatorsAlloway Row Crop Cultivators are the leaders when it comes to precision cultivation. Every model is designed to be user friendly, economical, and productive. We offer a variety of models for all types of crops ranging from beans, sugarbeets, corn and more. Available in 4 to 36 rows with flat fold, vertical-fold, or straight tool bars. In addition, we are able to design and manufacture custom cultivators for specific applications. Alloway DefoliatorsDesigned to produce the cleanest beets in the business, the Alloway defoliator has become the workhorse for sugarbeet growers across America. They are proven performers in every growing region and in all soil conditions. Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
2,"About | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway About The Alloway name has become synonymous with true quality and innovation in the production of reliable agriculture equipment for the farmers of the world. Manufactured and assembled by craftsmen, Alloway ag products are recognized as quality leaders. Alloway manufacturers agriculture equipment such as row crop cultivators for multiple crops inducing organic crops as well as standard crops such as: corn, cotton, sweet potatoes, vegetables, hemp, edible beans, sugarbeets, potatoes, and more. Other specialty equipment Alloway manufacturers is the High Volume Sugarbeet Harvester in multiple configurations as well as their trademark “Folding” High Speed Defoliator as well as other Sugar Beet models. The Alloway Standard Story During World War II, brothers Joe and Ted Lepine; skilled metal smiths, moved to Seattle, Washington to repair ships for the US Navy. After the war, the brothers moved back to their family roots in Fargo, ND and opened a sheet metal fabrication business, Standard Industries. Their first winter was very slow, hence Joe decided to build his son Jim a metal sled and took him sledding at Island Park in downtown Fargo. While sledding a man approached the father and son to inquire where they were able to find a sled so soon after the war as metal was especially hard to come by for toys. That man was Fred Scheel and he wanted to sell the sleds in his hardware store. Joe and Ted produced many sleds for Scheels Hardware which provided work and income for the two families that critical first winter. Thus the humble beginning of a three generation family-owned company. In 1976, Joe’s son, Jim, purchased the business from Joe and Ted. Soon after, Jim responded to an emergency phone call from American Crystal Sugar, a beet processing plant in Moorhead, MN. They needed skilled metal smiths to fabricate custom stainless steel equipment for the plant. This evolved the business into the area’s premier stainless steel fabrication shop. In 2003 Jim and his son, Mike purchased the Alloway Sugarbeet Equipment line from Woods Equipment Co., with the idea to be more diversified, grow the company’s sugarbeet heritage and continue the success of the highly regarded agricultural equipment line. Alloway was also a family owned business started by blacksmiths in Caldwell, Idaho in 1946. Together we have over a hundred years of experience in the industry. Alloway Standard Industries is a family owned business still today; grounded by high standards, ethical values, and a conviction to integrity and honesty in business and all one does. That along with our employee’s conviction to produce high-quality parts and products and backing it up with exceptional customer service has enabled us to continue growing. At Alloway Standard, we are not content to stand still; we strive to improve product quality and produce innovative equipment so our customers can become more productive, have less downtime and become more profitable. Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
3,"Contact | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Contact Alloway Standard Industries5650 13th Ave N Ste AFargo, ND 58102 877-275-8714 (toll free)701-356-4983 (phone)701-356-4985 (fax) Name * First Last * Last Email * Subject * Message * reCAPTCHA Personnel Kelly O’Hara – Sales Representative – kohara@allowayag.comKarl Buhaug – Parts Manager – karlb@allowayag.comJocelyn Converse – Purchasing Manager – jconverse@stanind.comDean Brown – Alloway Service & Warranty Manager – dbrown@allowayag.comMJ Lepine – Project Manager – mjames@stanind.comLuke Hince – Engineer Manager – lhince@stanind.comMike Lepine – President – mlepine@stanind.com Map and Directions Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
4,"Alloway Seedbedder | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder Alloway Seedbedder The Alloway Seedbedder has all the old features plus lots of new ones. We still have the small tines on harrow frame but they have replaceable points to keep parts cost down. The rolling baskets have hydraulic down pressure and improved fiber bushings and hardened sleeves. Large transport tires and safety lights are standard equipment. Alloway SeedbedderThe new and improved Alloway – Seedbedder has all the old features plus lots of new ones. We still have the small tines on harrow frame but they have replaceable points to keep parts cost down. The rolling baskets have hydraulic down pressure and improved fiber bushings and hardened sleeves. Large transport tires and safety lights are standard equipment. Finishing harrow made for medium to shallow penetration. Uniquely styled spring tines used vibration action to clear trashy conditions. Mounted on -14” centers, leaving only 1-14” between tines result in a smooth seedbed with no clumps. Superior seedbed preparation for sugarbeets and other shallow-planted crops. Hydraulic crumblers do a superior mixing of soil to help keep wind erosion down and prepare a firm seedbed. < class=""""> Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
5,"Alloway Seedbedder | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder Alloway Seedbedder The new and improved Alloway – Seedbedder has all the old features plus lots of new ones. We still have the small tines on harrow frame but they have replaceable points to keep parts cost down. The rolling baskets have hydraulic down pressure and improved fiber bushings and hardened sleeves. Large transport tires and safety lights are standard equipment. Finishing harrow made for medium to shallow penetration. Uniquely styled spring tines used vibration action to clear trashy conditions. Mounted on -14” centers, leaving only 1-14” between tines result in a smooth seedbed with no clumps. Superior seedbed preparation for sugarbeets and other shallow-planted crops. Hydraulic crumblers do a superior mixing of soil to help keep wind erosion down and prepare a firm seedbed. Standard Equipment Advantages Rigid Wing Locks eliminate the need for pulling cables and allow operators to back machine up while unfolded. 2-3/16 tine spacing Hydraulic down pressure on baskets 11″ Danish harrow tine with replaceable point Toolbar sets tine depth hydraulically Tines tip up for transport and trash removal Original Alloway crumbler baskets Easy field transport; folds up and back No wheel tracks Hydraulic Down Pressure Cylinder Replaceable Tine Points Reduce Part Costs Flat Rail Baskets for firming fine foil Optional Equipment Attachment Specifications Seedbedder 2-3/16” Tine Spacing Hydraulic down pressure on baskets Adjustable tine depth with replaceable points Heavy Harrows Hydraulically adjustable with down pressure springs 12” Wide x 24” Long x 9/16” Dia heavy tine Tines tip forwards for transport and trash removal RTS with Harrows Harrow with spring angle pitch adjustment 2” Harrow tine spacing 8” wide x 12” Long x 3/8” Dia harrow tines RTS with Crumblers Danish tine with or without helper springs Toolbar sets tine depth hydraulically and tines are retractable Sizes Available 45’ (24 Row 22"" Spacing) 52’ 62’ Manuals Seedbedder Manuals Videos Alloway Seedbedder Videos Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
6,"Alloway Row Crop Cultivators | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder Alloway Row Crop Cultivators Alloway Row Crop Cultivators are the leaders when it comes to precision cultivation. Every model is designed to be user friendly, economical, and productive. We offer a variety of models for all types of crops ranging from beans, sugarbeets, corn and more. Available in 4 to 36 rows with flat fold, vertical-fold, or straight tool bars. In addition, we are able to design and manufacture custom cultivators for specific applications. Standard Features and Benefits Heavy Duty Oilite Bushings in every pivot point provides years of maintenance free service with no lubrication required. Tool Bars are construct of heavy duty 7” x 7” x ¼” square tubing and can be ordered with Alloway’s patented 180 degree flat-fold system 180-degree flat fold reinforced double bar, rigid or top reinforced rigid. Mechanical Guidance System increase precision and cuts cultivation time. Marked Vertical Shanks adjust vertically and are linear marked with ½” and 1” measurements stamped into the metal, allows precision adjustments and depth control without a tape measure. Gauge Wheels are 4” standard or optional 6” wide for increased floatation (12” or 16” dia). Parallel Linkage for solid wide stance eliminating twisting from side to side. This ensures greater strength and control (double H parallel on high residue model). Available Models 2040 Bed RTS Row Crop CultivatorThe Model 2040 Bed RTS is Alloway’s pre-plant tillage system. It’s two tools in one that can incorporate as well as condition your seedbed. For Use In: Tomatoes, Sugarbeets, Vegetables or any row crop on beds < class="""">2065 High Residue Row Crop CultivatorThe Model 2065 was developed so you can design your own cultivator. Build a single shank unit with cutting coulter and row weeder disc or add 3-tine or 5-tine gang assemblies for special applications. The 2065 is ideal for cultivating in heavy-trash and in hard-to-cultivate soils. For Use In: Corn, Cotton, Soybeans, Sunflowers, Potatoes, and Sugarbeets < class="""">2040 Delta – Row Crop CultivatorDesign your own cultivator…the right tine, the right sweep, the right shield. For Use In: Cotton, Soybeans, Corn < class="""">2040 Vegetable – Row Crop CultivatorCultivate row planted or bed planted crops in single or multiple rows. As your crops grow, this cultivator can be quickly modified or adjusted with a variety of options and accessories to work all season long! For Use In: Broccoli, Cauliflower, Melons, Lettuce, Tomatoes, Onions, Peppers, Beans < class="""">2040 Adjustable – Row Crop CultivatorOne of Alloway’s most popular cultivators offering a diverse selection of options and accessories. Adjustable gangs provide a wide combination of tillage applications. Tines adjust vertically as well as horizontally – from side to side and front to back. For Use In: Cotton, Corn Soybeans, Sugarbeets, Tomatoes, furrow-irrigated applications < class="""">2130 Standard Row Crop Cultivator If you need greater flexibility, take a closer look at Alloway’s Model 2130 cultivator. The 2130 accepts a wide variety of options, tools, and accessories. Its strong welded construction means fewer adjustments permitting easy maintenance and field ready operation. For Use In: Sugarbeets, Corn, Sunflowers, Soybeans < class="""">3130 High Clearance CultivatorDesigned with market understanding and field tested know-how, the 3130 is versatile, featuring a higher clearance tool bar and a variety of gang configurations designed for use in corn, cotton, vegetables or sugarbeets. It has a close-coupled gang design putting the working tools forward under the tool bar for maximum control. And the single sweep design reduces plugging in high residue conditions. 6 Row through 36 Row units available. – Custom Sizes available upon request < class=""""> Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
7,"2130 Standard Row Crop Cultivator | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder 2130 Standard Row Crop Cultivator Greater Flexibility If you need greater flexibility, take a closer look at Alloway’s Model 2130 cultivator. The 2130 accepts a wide variety of options, tools, and accessories. Its strong welded construction means fewer adjustments permitting easy maintenance and field ready operation. For Use In: Sugarbeets, Corn, Sunflowers, Soybeans Features and Benefits Standard gauge wheels on gangs 2” x 4” welded trees Standard S-tines (3 per 22” row – 5 per 30” row) 12” tine spacing standard, 15” tine spacing optional Optional Equipment Support wheels or guide wheels Lift assist wheels on larger models Tree with 15” tine spacing also available S-tine helper springs or Penetrator tines 6” flotation gauge wheels and arm assembly Adjustable depth control Tunnel shields Parking stand (for cultivators without support or guide wheels) Stabilizer coulter Variety of shovels Tip-up tine brackets Flip-up dual discs Guide furrow marker Gang Assemblies 3-Tine Gang Assembly 2” x 4” welded tress 12” tine spacing 5-Tine Gang Assembly 2” x 4” welded trees 12” tine spacing 5-Tine Reversible Gang Assembly 2”’ x 4” tree 12” tine spacing Manuals Row Crop Cultivator Manuals Videos Alloway Cultivators Videos 2130 Overview If you need greater flexibility, take a closer look at Alloway’s Model 2130 cultivator. The 2130 accepts a wide variety of options, tools and accessories. It’s strong welded construction means fewer adjustments permitting easy maintenance and field ready operation. For use in sugar beet, corn, sunflower, and soybean fields. Features and Benefits Standard Gauge Wheels on Gangs 2″ x 4″ Welded Trees Standard S-Tines (3 per 22″ row – 5 per 30″ row) 12″ Tine Spacing standard, 15″ Tine Spacing optional Back to Top Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
8,"2040 Vegetable – Row Crop Cultivator | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder 2040 Vegetable – Row Crop Cultivator Delicate Custom Cultivation Cultivate row planted or bed planted crops in single or multiple rows. As your crops grow, this cultivator can be quickly modified or adjusted with a variety of options and accessories to work all season long! For Use In: Broccoli, Cauliflower, Melons, Lettuce, Tomatoes, Onions, Peppers, Beans Features and Benefits Heavy-duty gauge wheels on gangs (cast hub with water pump bearings) Furrow gang has 2” x 4” adjustable trees with two S-tines and one rigid shank with sweep adapter Bed gang available in single row or double row Vertically adjustable rear tine brackets Optional Equipment Support wheels or guide wheels Additional disc or knife shanks Various knives and shovels Spider wheel mounting brackets Parking stand (for cultivators without support or guide wheels) Bed shaper pans NOTE: Curved bed knives and furrow clean-out shovels are not available from Alloway. See your local dealer. Gang Assemblies Furrow Gang 2 tines and 1 shank on 2” x 4” adjustable tree Bed Gang Single row (narrow) – per bed: 1 pair discs 1 pair knife shanks 2 gauge wheels Double row (narrow) – per bed: 2 pair discs 2 pair knife shanks 1 gauge wheel Single row (wide) – per bed: 1 pair discs 1 pair knife shanks 2 gauge wheels Double row (wide) – per bed: 2 pair discs 2 pair knife shanks 2 gauge wheels Manuals Row Crop Cultivator Manuals Videos Alloway Cultivators Videos Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
9,"2040 Adjustable – Row Crop Cultivator | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder 2040 Adjustable – Row Crop Cultivator Completely Changeable. One of Alloway’s most popular cultivators offering a diverse selection of options and accessories. Adjustable gangs provide a wide combination of tillage applications. Tines adjust vertically as well as horizontally – from side to side and front to back. For Use In: Cotton, Corn Soybeans, Sugarbeets, Tomatoes, furrow-irrigated applications Features and Benefits Heavy-duty gauge wheels on gangs (Cast hub with water pump bearings) 2” x 4” adjustable trees with 7” 8-hole branches (on 22” units) and 10” 8-hole branches (on 30” – 40” units) Vertically adjustable rear tine brackets Standard S-tines (5 per 30” – 40” row and 3 per 22” row) 22” row units include brackets for mounting optional end shields Optional Equipment Support wheels or guide wheels Lift assist wheels on larger models S-tine helper springs or Penetrator tines 6” flotation gauge wheels and arm assembly Adjustable depth control Tunnel shields Parking stand (for cultivators without support or guide wheels) Stabilizer coulter Variety of shovels Tip-up tine brackets Flip-up dual discs Guide furrow marker Sweep adapter with shank and clamp Gang Assemblies 3-Tine Gang Assembly 2” x 4” adjustable tress 5-Tine Gang Assembly 2” x 4” adjustable trees Manuals Row Crop Cultivator Manuals Videos Alloway Cultivators Videos One of Alloway’s most popular cultivators offering a diverse selection of options and accessories. Adjustable gangs provide a wide combination of tillage applications. Tines adjust vertically as well as horizontally – from side to side and front to back. For use in cotton, corn, soybean, sugar beet and tomato fields. Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
10,"2040 Bed RTS Row Crop Cultivator | Alloway Home AllowayProduct Line Shredders Cultivators Defoliators Harvesters Seedbedder About Dealer Locator Contact Events Careers Standard Industries Alloway Seedbedder Alloway Seedbedder Cultivators 2130 Standard Row Crop Cultivator 2040 Vegetable – Row Crop Cultivator 2040 Adjustable – Row Crop Cultivator 2040 Bed RTS Row Crop Cultivator 2040 Delta – Row Crop Cultivator 2065 High Residue Row Crop Cultivator 3130 High Clearance Cultivator SugarbeetDefoliators FDS S-Series Folding Sugarbeet Defoliator FD Folding Sugarbeet Defoliator RDS S-Series Rigid Sugarbeet Defoliator RD Rigid Sugarbeet Defoliator Sugarbeet Harvesters HV-12R22 Rigid Sugarbeet Harvester. HV-8R22 Sugarbeet Harvester. Folding Harvester Rigid Harvester Shredders Alloway Windrow Shredder Alloway Shredder 2040 Bed RTS Row Crop Cultivator 2040 Bed RTS Cultivator Overview The Model 2040 Bed RTS is Alloway’s pre-plant tillage system. It’s two tools in one that can incorporate as well as condition your seedbed. For Use In: Tomatoes, Sugarbeets, Vegetables or any row crop on beds Features and Benefits Heavy-duty gauge wheels on gangs (cast hub with water pump bearings) 2” x 4” adjustable trees (3 S-tines) Vertically adjustable rear tine brackets Special harrow sections and double crumblers on beds allow tillage even in wet soil Optional Equipment Support wheels or guide wheels Rigid shank with sweep adapter Wide range of shovels 6” flotation gauge wheels and arm assembly Spider wheel mounting brackets Front tine attachment for hard soil Conversion kit to convert RTS system into a tomato row crop cultivator Manuals Row Crop Cultivator Manuals Videos Alloway Cultivators Videos Copyright © 2023 All Rights Reserved • Alloway / Standard Industries, Inc. Resources Dealer Locator Product Videos Product Manuals Dealer Resources Privacy Policy Careers Job Application Standard Industries"
