,Data
0,"PRECISION INDUSTRIES - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference PRECISION INDUSTRIESPA2023-11-16T03:08:43+00:00 Precision Components For Precise IndustriesPrecision Machine & Manufacturing’s full line of rotary feeders, rotary valves and screw conveyors moves hard to handle materials that the “other guys” pass on! Developing systems that move abrasive, hot, sticky and corrosive materials is our specialty! See NFPA ComplianceMoving Materials Is What We Do!“PMM’s Rotary Feeders/Airlocks, Rotary Valves, and Screw Conveyors simply move material more efficiently, with greater flow, and with far less downtime & maintenance costs.” Over-Engineered & Over-Built! Rotary FeedersWhether yout material handling system is running wood, chips, pulp, alternative fuels or other organic material, Presicion’s Rotary Feeders ensure that only uniform-sized materials are introduced. SEE ALLRotary ValvesHeavy-Duty & NFPA Compliant Rotary Valves. All Precision Machine & Manufacturing Valves offer Maximun Functionality & Durability in a Rebuildable Rotary valve. SEE ALLScrew ConveyorsSpecifically designed to meet the very specific needs of the application. PMM Screw Conveyors are the best choice when common “off-the shell” augers continue to fall short and fail far too soon. SEE ALLWhy Precision?Engineered Solutions It all starts with the Application! Once we have gathered all of the relevant application data, we go to work engineering & designing a solution that will exceed the throughput requirements for the overall material handling system. Industry leaders Time and time again, we are called upon to solve material handling challenges that are the result of using inferior equipment. Through this process, we have emerged as the “go to source” for all material handling components. Made in USA All Rotary Feeders, Rotary Valves, Airlocks and Screw Conveyors are manufactured in the United States of America by hard-working Americans, and with materials sourced from this great land! 123456781 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More 2 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More 3 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More 4 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More 5 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More 6 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More 7 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More 8 CEMENT INDUSTRY Lower Total Costs. Keep Material Moving. Whether you’re moving coal, alternative fuels, dust collection, silo discharge, kiln feed, or other high-volume, high-abrasion raw materials, Precision equipment will keep it moving, consistently, easily and without constant operator intervention. No more need to worry about material flow or assigning employees to fix clogs and spills. Feeders and valves that fail unexpectedly and cause unplanned downtime cost you production and profitability. With Precision Predictable Performance, feeders and valves last for their rated life. Address routine maintenance and rebuilding on your schedule. CEMENT INDUSTRY COMPONENTS PMDS Self-Cleaning Rotary Valve A mechanically self-cleaning rotary valve for applications where sticky or wet material can build-up in a conventional rotary valve or rotary feeder and disrupt feeding. Learn More OVER ENGINEERED &OVER BUILT! Why Precisions? Precision builds the longest lasting, most durable screw conveyors available.Plywood Manufacturing Plant Purchaser, Oregon PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
1,"ABOUT PRECISION - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference ABOUT PRECISIONPA2023-07-14T17:53:37+00:00 Request A Quote 541-484-9841 sales@premach.com Request A Quote For your toughest material handling challenges! We are a group of hard-working Americans who take great pridein everything we do! When you work with us, you are working with people who are actively working in our community every day to make it a better place. We are veterans, volunteer youth coaches, civic leaders, mentors and leaders! Made in the USA is not just a badge, it is the pride that each of us feel every time we build a material handling component for your operation. About Precision Machine & Manufacturing, Inc. Precision started out in 1977. In the years since the company’s humble origins as small machine shop supporting the local wood products industry, we’ve grown rapidly and become a major player in the material handling industry. Today, we are the leading supplier of extreme-duty bulk material handling components for industrial plants operating in the Biomass & Wood, Cement Manufacturing, Pulp & Paper, Food & Agriculture, Metals & Minerals, and Coal-Fired Power Generation industries. We tackle the most challenging and difficult material handling issues! When others walk away or provide a sub-par product, Precision Machine & Manufacturing specializes in developing solutions that not only successfully addresses problem areas, but ensures unexpected downtime is a thing of the past! Abrasive materials, elevated temperatures, corrosive materials, high-volume throughput? Just another day at the office for us! Rotary valves, screw conveyors, and rotary feeders that are designed to significantly outlast the competition, improve throughput, while decreasing energy cost and improving functionality is what we hang our hat on! We’re very proud that every product we build is 100% Made in the USA. We believe in innovation and development. We excel in solving new, challenging applications for our customers and all we ask is that you give us an opportunity and we guarantee you will be glad that you did! Thank you for your interest in Precision Machine & Manufacturing! PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
2,"CONTACT US - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference CONTACT USPA2023-06-15T16:26:59+00:00 Contact our applications specialists to help you with your bulk-material handling needs. Precision Machine & Manufacturing, Inc. 541-484-9841 sales@premach.com Fax: 541.484.4094 1290 S. Bertelsen Road Eugene, OR 97402 Name *Email *CompanyMessage *Send×Thank you for your message. It has been sent.×There was an error trying to send your message. Please try again later. REQUEST A QUOTE. For your toughest material handling challenges!Request A Quote JOIN THE PREMACH TEAM! Check for job openings & apply today!Check Now PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
3,"PMRD- Rotary Feeder Double Slope - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference PMRD- Rotary Feeder Double SlopePA2023-10-03T17:02:35+00:00 Double-Slope High Volume Rotary FeederWhen it comes to moving massive volumes of material such as granular/rocky materials, dry powders, and/or abrasives with relatively uniform size and a low moisture content, the Double Slope High Volume Rotary Feeder is the preferred choice! A high-capacity metering device and an airlock all in one! GET A QUOTEDOWNLOAD THE BROCHURE PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
4,"PMK- Rotary Valve - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference PMK- Rotary ValvePA2023-09-28T12:28:28+00:00 Heavy Duty & NFPA Compliant- Rotary Valve Airlock w/Knife (PMK)Perfection has arrived! The PMK is NFPA compliant, rebuildable with readily available replacement parts, and is manufactured from surface hardened, abrasion-resistant materials. Combined with industry leading rotor to barrel clearances and the PMK is the highest quality, most functional Rotary Valve, Rotary Feeder and/or Airlock available in the Material Handling and/or Industrial Manufacturing Industries. GET A QUOTEDOWNLOAD THE BROCHURE PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
5,"PMDS- Self-Cleaning Valve - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference PMDS- Self-Cleaning ValvePA2023-09-28T12:33:00+00:00 Heavy-Duty & NFPA Compliant- Self-Cleaning Rotary ValveThe industry’s first self-cleaning rotary valve! Finally, a rotary valve specifically tailored for wet, sticky material handling applications! Precisely engineered to self-clean the rotors pockets with every revolution. Precision’s Self Cleaning Rotary Valve is second to none in eliminating unscheduled downtime. GET A QUOTEDOWNLOAD THE BROCHURE PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
6,"PMSE- Side Entry Rotary Valve - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference PMSE- Side Entry Rotary ValvePA2023-10-03T17:01:56+00:00 Side-Entry Rotary Valve- The Perfect Solution For Delicate Materials!A robust side-entry rotary valve designed to minimize shearing and breakage of delicate materials such as dog food, animal treats, plastic pellets, ceramic and/or glass beads. The side-entry inlet allows the material to slip gently into the rotor pocket from an angle, instead of a vertical drop. No More Product Breakage & Capable of Massive Throughput! GET A QUOTEDOWNLOAD THE BROCHURE PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
7,"PMV Micro Valve - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference PMV Micro ValvePA2023-08-15T15:27:08+00:00 Heavy-Duty Micro Rotary ValveThe biggest little rotary valve available on the market! This durable, heavyweight, with a small footprint is perfect for unique applications moving lower volumes of material, ranging from 20 to 1000 lbs. per hour. The Micro Rotary Valve is extremely flexible and can be customized to meet the specific needs of the application! In addition to custom-tailoring the rotor’s pocket size and shape to meet the precise characteristics of the material being conveyed, the Micro Rotary Valve is also able to be manufactured from a variety of material types, including stainless steel. Whether the application is moving frozen water droplets or plastic pellets, this robust little valve can be totally customized to meet the uniqueness and throughput requirements of the application. The Micro Rotary Valve functions as both an airlock and a metering device. NFPA Compliant! GET A QUOTE PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
8,"Sectional Flights - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference Sectional Flights Home » SCREW CONVEYORS » Sectional Flights Sectional FlightsPA2023-09-28T15:01:08+00:00 Heavy-Duty Sectional FlightsPMM’s proprietary forming technology enables the forming of sectional flights with 100% uniformity. Our industry-leading flight-pressing equipment gives us the ability to form a broad range of sectional flight sizes, which are constructed from a wide variety of steel alloys. Sectional flights up to 1 ½” thick, and with an outside diameter of 50” is well within our capabilities! Screw Conveyors are only as effective as the sectional flights they possess. This is why we have made it our priority to be THE Screw Conveyor Sectional Flight Experts! Perfect Screw Conveyor Sectional Flights are just a click away! GET A QUOTE PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
9,"Biomass & Wood - Precision Machine Skip to content Support American Manufacturing Toggle NavigationNFPA InfoService VideosAbout UsContact Us541 484 9841Toggle NavigationRotary FeedersChip, Wood, Pulp & Alternative Fuel Rotary FeederDouble-Slope High Volume Rotary FeederRaw Mill Rotary FeederRotary ValvesHD Rotary ValveHD Rotary Valve w/KnifeHD Self-Cleaning Rotary ValveHD Side Entry Rotary ValveHD Micro Rotary ValveScrew ConveyorsHD Screw ConveyorsHD Sectional FlightsMaterial Handling by IndustryBiomass & WoodCementPulp & PaperFood & AgMetals & MineralsCoal-Fired Power GenerationThe Precision Difference Biomass & WoodPA2023-10-03T17:10:48+00:00 Contaminants in Your Fuel? No Problem! We get it. Contaminant-free fuel is getting harder to find. Your processes now have to tolerate high levels of sand or foreign objects. We can help you select solutions that are more resilient and reliable. BIOMASS & WOOD INDUSTRY $1.5 Million Per Day! For a single unplanned outage, this cost could be as much as $17.5M if your operation is down for a full week. This cost is what fuels Precision Machine & Manufacturing to build the highest quality material handling components in the industry! Made in the USA and built with wear-resistant alloys solely intended to provide Biomass energy producing and wood plants with outage to outage reliability. Contact Precision Today With your toughest material handling Challenges! 541-484-9841 sales@premach.com Download Full Biomass & Wood Brochure Moving Wood products since 1977!Since 1977, Precision Machine & Manufacturing has been building components specifically for the Biomass & Wood products industry. Regardless of the type of wood products being manufactured, Precision Machine & Manufacturing has the components that will keep your plant operating, trouble-free and at peak efficiency! SELF-CLEANING ROTARY VALVES PMDS Rotary Valve REQUIREMENTS Metering and airlock application for handling very large volumes of limestone and other raw materials. Typically used with a VRM (vertical roller mill). PRECISION SOLUTIONS Extreme-duty PMCA rotary feeders in sizes from 150 to 1000 TPH. Constructed of Tri-Braze abrasion-resistant steel. Hot-air design for raw material applications. Transitions for slide-out/slide-in replacement of competitive feeders. KEY DIFFERENTIATORS Two years of operation between rebuilds Reduced false air induction Low or no recurring maintenance SEE MORE WOOD, ORGANIC AND ALTERNATIVE FUEL FEEDERS PMV Rotary Valve REQUIREMENTS A superior, long-lived modular rotary valve for metering and airlock applications handling powders or small granules. It offers unmatched durability compared to competing solutions and is engineered and built for the most difficult applications in a plant. PRECISION SOLUTIONS Hardened stainless steel knife slices large pieces. Meters material of all shapes & sizes. Super-tight clearances to avoid false air introduction. Perfect for organic material! KEY DIFFERENTIATORS Abrasion resistant. Rebuildable. Low or no recurring maintenance SEE MORE MINERAL METERING VALVES PMR Rotary Valve REQUIREMENTS Functionally, the PMR is both a metering device and an airlock. PMR valves are built for long, continuous operation with provisions for eventual rebuilding. PRECISION SOLUTIONS Meter abrasive minerals and powdery materials. Built with specialty 500-Brinell abrasion-resistant alloys High-Temp! Save energy! KEY DIFFERENTIATORS Minimial rotor-to-barrel clearances limits blowby. Optional Tri-Braze barrels can double the cycle between rebuilds. Modular- Wear item replacement. SEE MORE DUST COLLECTION VALVES PMSE Side-Entry Rotary Valve REQUIREMENTS A long-lived offset or side-entry rotary valve designed to minimize shearing and breakage in the handling of delicate, formed, molded, granular, or pelletized materials. Functionally, PMSE valves are both a metering device and an airlock. PRECISION SOLUTIONS Tight tolerances-Minimizes blowby! Keeps the trapped air from escaping! Precisely meters the material! Easily handle a variety of material types and sizes. KEY DIFFERENTIATORS Pneumatic line injectors. Extremely durable. Built with 500 Brinell wear parts. Rebuildable! No throw away components here! SEE MORE FLY & BOTTOM ASH FEEDERS PMRD Rotary Feeders REQUIREMENTS A durable high-capacity rotary feeder for handling dry powders, granular materials, small rocks, or other abrasive materials with relatively uniform material size and low moisture content. Offers an attractive capacity-for-cost ratio compared to tight-tolerance rotary valves. Functionally, both a metering device and an airlock. PRECISION SOLUTIONS Combined durability & functionality. A metering device AND airlock. Able to easily process massive amounts of fly and bottom ash. Maximum throughput. KEY DIFFERENTIATORS Rounded rotor pockets Ion-nitride treated to provide exceptional durability and abrasion-resistance. Low or no recurring maintenance SEE MORE SCREW CONVEYORS Screw Conveyors REQUIREMENTS No need to settle for an “off-the-shelf” solution, when you can have a customized screw conveyor that will perform better and last longer – for the same cost! PRECISION SOLUTIONS Durable & Functional. Handles the most difficult materials. High-Temp. Moves materials other “common” screws can’t. KEY DIFFERENTIATORS Abrasion resistant. Rebuildable. Low or no recurring maintenance. SEE MORE BIOMASS & WOOD INDUSTRY Precision Solutions Contaminants in your fuel? No problem! We get it. Contaminant-free fuel is getting to be harder to find. Your processes now have to tolerate high levels of sand or foreign objects. We can help you select solutions that are more resilient and reliable. Maximizing revenue per pound of fuel through process efficiency.Squeeze the most electricity possible out of from the fuel you use. Precision equipment is a key ingredient in your profit margins. Upgrade to the latest technology. . A lot has changed since your plant was constructed. Let us guide you to the latest innovations in fuel handling. Control maintenance costs. Stay predictably under budget. Stop spending the same money on the same problems every year. Precision solutions reduce recurring expenses and reduce the manhours required for periodic maintenance. Precision solutions are inherently rebuildable. No need to always buy new. Save cost and maintain equivalent performance. Precision’s systems and processes provide faster deliveries and fewer spares. When it’s time to rebuild or replace, Precision gets you the right solution, on YOUR schedule. No need to wait 10+ weeks for a replacement. We’re nearby and ready to go to work for you. No need to carry excess spares PRECISION MACHINE & MANUFACTURING 1290 S. Bertelsen Road Eugene, OR 97402 ©2023 PRIVACY POLICY CONTACT PRECISION TODAYThe industry’s preferred choice for the most difficult and challenging material handling applications! Phone: 541-484-9841 Email: sales@premach.com © Copyright 2012 - 2023 | All Rights Reserved Page load link Go to Top"
