,Data
0,"RAPAT | Home Search 🔍 Products Case Studies About Us Support Careers Contact Lime Plant Resin Coated Sand Processing Facility Frac Sand Transloading Facility Preceding Slide Following Slide Frac Sand Processing FacilityWisconsin Rapat was responsible for the complete engineering and manufacturing of the conveying system, including detailed conveyor design, transfer chutes and structural supports. Lime Plant Missouri Frac Sand Transloading Facility, North Dakota Wood Pellet Producer British Columbia, Canada Malt Processing Facility Minnesota Lime Plant Missouri Frac Sand Transloading Facility, North Dakota Wood Pellet Producer British Columbia, Canada Malt Processing Facility Minnesota Engineered Systems Standard Products At Rapat Corporation, our only business is moving bulk products. We design each conveyor to meet the specific needs of the application. We don’t force off-the-shelf products into unique applications. It is this desire to make each component fit into each situation that translates to a high quality finished product. Visit Our Booth No events at this time! Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
1,"RAPAT | Search Search 🔍 Products Case Studies About Us Support Careers Contact Search Home > Search Search Results Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
2,"RAPAT | Products Search 🔍 Products Case Studies About Us Support Careers Contact Products Home > Products At Rapat Corporation, our only business is moving bulk products. We design each conveyor to meet the specific needs of the application. We don’t force off-the-shelf products into unique applications. It is this desire to make each component fit into each situation that translates to a high quality finished product. Engineered Systems Rapat offers a full line of material handling equipment, including: structural steel trussed, structural steel channel, and enclosed frame belt conveyors, bucket elevators, corrugated sidewall belt conveyors, chain conveyors, and distributors. These individual pieces of equipment can be customized and integrated into a material handling system with all of the necessary structural steel support bents, towers, service platforms, stairs, ladders, and interconnecting chute work required for your specific application. Frac Sand Lime and Cement Mining and Minerals Energy Generation Fertilizer and Ag Products Building MaterialsCustom Design Standard Products Customized or one-of-a-kind pieces of equipment are often required for specialized bulk material handling application. No two individual installations or uses for a particular product are exactly the same. Rapat Corporation will design and build the exact equipment you need to get the job done right. Series-TCTR Trussed Frame Belt ConveyorsSeries-CTR Channel Frame Belt ConveyorsSeries-L Bucket ElevatorsSeries-FLXSeries-ECTR Enclosed Belt ConveyorsSeries-ETR Enclosed Belt ConveyorsSeries-RR Enclosed Belt ConveyorsSeries-RV Rotary Valve DistributorsSeries-D Drag ConveyorsSeries-SF Swing-Flo DistributorsSeries-RFSeries-SCR Belt ConveyorsSeries-C Belt ConveyorsSeries-F Belt ConveyorsSeries-CU Car UnloadersSeries-HDB Flat Bagging ConveyorsSeries-HDV V-Trough Bagging Conveyors Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
3,"RAPAT | Case Studies Search 🔍 Products Case Studies About Us Support Careers Contact Case Studies Home > Case Studies Frac Sand Processing Facility, Wisconsin Iron Ore Pellet Facility Minnesota Lime Plant Wisconsin Lime Plant Missouri Frac Sand Processing Facility, Illinois Ethanol Plant Minnesota Lead and Zinc Mining Facility, Missouri Paper Mills Georgia & North Carolina Urea Facility Georgia Biomass Crude Oil Facility Mississippi Frac Sand Processing Facility, Wisconsin Frac Sand Processing Facility, Wisconsin Resin Coated Sand Processing Facility, Louisiana Lime Manufacturing Plant Utah Paver and Block Production Facility, Pennsylvania Frac Sand Transloading Facility, North Dakota Frac Sand Transloading Facility, North Dakota Frac Sand Transloading Facility, North Dakota Wood Pellet Producer British Columbia, Canada Malt Processing Facility Minnesota Potash Processing Facility Canada Malt Processing Facility Canada Container Loading Facility Minnesota Wood Board Plant Louisiana Wine Producer California Power Generation Texas Shingle Manufacturing PlantPennsylvania Frac Sand Processing FacilityWisconsin Iron Ore Pellet Plant Indiana Frac Sand Transloading Facility West Virginia Lime Plant Pennsylvania Iron Ore Pellet Plant Minnesota Cement Plant Arizona Limestone Screening & Ship LoadingMichigan Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
4,"RAPAT | About Us Search 🔍 Products Case Studies About Us Support Careers Contact About Us Home > About Us Rapat Corporation provides engineered solutions for industrial and agricultural material handling needs. We approach each project with the intent of finding a better way to solve the customers problems by listening to their individual needs, and applying what we learn to best solve their specific material handling requirements. “Thank you for considering Rapat for your material handling requirements. I am very proud of the fact that we have been providing solutions to material handling problems for more than 40 years. Our dedicated staff and I do not want to provide you with just equipment— we want to provide you with a solution to your material handling needs. We look forward to getting to know you and putting our expertise to work for you.” —Tom Sparrow, President Production Certified welders Structural steel fab Sandblast/powder coating Assembly Tagging/logistics Engineering Assembly drawings Solid work models Discrete element modeling of chutes Operations/maintenance manuals Service On-site services Training Spare parts lists Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
5,"RAPAT | Support Search 🔍 Products Case Studies About Us Support Careers Contact Support Home > Support Parts & Service 919 O’Donnell Street Hawley, MN 56549-4310 USA Toll-free USA: 800-325-6377 P: 218-483-3344 F: 218-483-3535 Need a Parts Request for Quotation? Parts RFQ Form Please email completed form to parts@rapat.com. Support on existing products productsupport@rapat.com If you have a question regarding a product or service? Please fill out the form below. Ignore Subject: Your Email: Comments: Name: Company: Address: City: State: ZIP Code: Country: Phone Number: Fax Number: Submit Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
6,"RAPAT | Careers Search 🔍 Products Case Studies About Us Support Careers Contact Careers Home > Careers Thank you for your interest in working at Rapat Corporation. Industrial Painter Assembly Technician Design Engineer Apply Now! Please direct any questions to: hr@rapat.com Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
7,"RAPAT | Contact Search 🔍 Products Case Studies About Us Support Careers Contact Contact Home > Contact Contact Rapat 919 O’Donnell Street Hawley, MN 56549-4310 USA Toll-free USA: 800-325-6377 P: 218-483-3344 F: 218-483-3535 Company Office Hours: 8:00-5:00 CST Shipping & Receiving: 7:30-4:30 CST Product Support Need a request for quotation or have a question regarding a product or service? Please fill out the form below. Ignore Subject: Your Email: Comments: Name: Company: Address: City: State: ZIP Code: Country: Phone Number: Fax Number: Submit Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
8,"RAPAT | Frac Sand Processing Facility, Wisconsin Search 🔍 Products Case Studies About Us Support Careers Contact Frac Sand Processing Facility, Wisconsin Home > Case Studies > Frac Sand Processing Facility, Wisconsin Frac Sand Processing Facility, Wisconsin Project Type: 2.6-Million-Ton-Per-Year Frac Sand Processing Facility Location: Wisconsin Capacities: Raw Sand Receiving: 2,000 TPH Raw Sand Reclaim: 600 TPH Storage and Process: 400 TPH Rail Loadout: 1,000 TPH A design/build team hired Rapat to design and manufacture a conveying system for the largest frac sand processing facility in the U.S. Rapat was selected for this project based on its design/build experience as well as its ability to deliver a large-scale conveying system. Rapat was responsible for the complete engineering and manufacturing of the conveying system, including detailed conveyor design, transfer chutes and structural supports. This project required close coordination with the primary engineering firm and the contractor. Rapat successfully held to an aggressive 10-month time frame for a successful project. Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
9,"RAPAT | Lime Plant, Missouri Search 🔍 Products Case Studies About Us Support Careers Contact Lime Plant, Missouri Home > Case Studies > Lime Plant, Missouri Lime Plant, Missouri Project Type: Lime Plant Location: Missouri Capacities: 400-800 TPH A lime plant needed a new material handling system to supply quicklime to its new hydrator. Rapat was hired to provide a fixed tripper and new drive components for an existing barge load-out conveyor and to construct a new trussed conveyor with support structure. The client’s existing conveyor was crucial to the plant’s operation, yet there was limited documentation from the original supplier. In the end, Rapat was successful in specifying the project and constructing the new fixed tripper, while keeping the plant’s downtime to a minimum. Request a Quote 800-325-6377 Engineered Systems Standard Products Case Studies About Us Support Careers Contact © 2023 RAPAT Corporation 919 O’Donnell Street | Hawley, MN 56549"
